"gene_name","WT1","WT2","A1","A2"
"PA14_00010",359,244,1254,1361
"PA14_00020",614,459,1667,1728
"PA14_00030",254,197,1010,1070
"PA14_00050",1203,855,3168,2882
"PA14_00060",0,0,20,20
"PA14_00070",7,5,38,15
"PA14_00080",23,20,45,44
"PA14_00090",1,4,12,22
"PA14_00100",0,1,19,12
"PA14_00110",18,18,79,103
"PA14_00120",98,62,444,433
"PA14_00130",26,11,123,82
"PA14_00140",3,2,169,103
"PA14_00150",0,0,20,23
"PA14_00160",0,0,2,1
"PA14_00170",1,2,15,19
"PA14_00180",5,4,25,31
"PA14_00190",2,1,4,5
"PA14_00200",4,1,10,18
"PA14_00210",50,45,367,366
"PA14_00230",3,1,3,3
"PA14_00240",10,14,119,113
"PA14_00250",6,3,27,32
"PA14_00280",99,77,557,570
"PA14_00290",76,60,242,239
"PA14_00300",81,77,242,239
"PA14_00310",45,25,62,55
"PA14_00320",35,23,15,22
"PA14_00340",14,13,13,23
"PA14_00360",3,1,8,14
"PA14_00380",3,5,53,33
"PA14_00400",10,8,40,33
"PA14_00410",19,8,31,24
"PA14_00420",3,4,6,7
"PA14_00430",39,30,87,85
"PA14_00440",1,1,12,12
"PA14_00450",9,15,80,78
"PA14_00460",10,12,74,86
"PA14_00470",68,52,174,188
"PA14_00480",298,212,856,1107
"PA14_00490",53,41,232,193
"PA14_00510",324,231,764,825
"PA14_00530",11,11,93,191
"PA14_00550",1,0,18,24
"PA14_00560",102,69,6087,6912
"PA14_00570",24,10,514,559
"PA14_00580",57,56,949,1008
"PA14_00590",4,2,154,147
"PA14_00600",1,0,86,97
"PA14_00620",3,3,131,147
"PA14_00630",16,6,18,16
"PA14_00640",14,18,16,26
"PA14_00650",1,1,4,3
"PA14_00660",0,0,1,2
"PA14_00670",5,4,8,21
"PA14_00680",2,0,4,0
"PA14_00690",4,1,21,16
"PA14_00700",2,0,2,9
"PA14_00710",11,15,40,57
"PA14_00720",53,41,210,173
"PA14_00730",6,6,26,27
"PA14_00740",3,0,7,7
"PA14_00750",20,22,42,62
"PA14_00760",1,5,24,18
"PA14_00770",2,2,40,37
"PA14_00780",0,2,7,7
"PA14_00790",259,159,594,605
"PA14_00800",59,50,81,100
"PA14_00810",17,14,27,31
"PA14_00820",0,2,2,8
"PA14_00830",20,9,68,96
"PA14_00850",3,0,3,8
"PA14_00860",7,4,24,15
"PA14_00875",10,1,13,8
"PA14_00890",0,0,9,6
"PA14_00900",0,0,3,2
"PA14_00910",9,2,8,13
"PA14_00925",0,1,3,2
"PA14_00940",2,1,8,14
"PA14_00960",1,0,3,0
"PA14_00990",40,37,132,106
"PA14_01010",172,121,129,131
"PA14_01020",406,245,233,215
"PA14_01030",303,201,128,156
"PA14_01040",10,15,12,16
"PA14_01060",7,3,6,6
"PA14_01070",25,18,18,19
"PA14_01080",11,11,5,8
"PA14_01100",189,137,143,116
"PA14_01110",61,40,52,51
"PA14_01120",1,0,0,4
"PA14_01130",0,0,2,0
"PA14_01140",2,0,12,8
"PA14_01150",0,0,1,6
"PA14_01160",460,313,994,922
"PA14_01170",4,1,7,13
"PA14_01180",5,3,7,14
"PA14_01190",9,3,10,5
"PA14_01200",65,66,39,53
"PA14_01220",42,27,48,34
"PA14_01230",11,10,10,20
"PA14_01240",57,37,162,176
"PA14_01250",10,5,13,10
"PA14_01290",18,17,103,101
"PA14_01300",4,8,27,47
"PA14_01310",4,3,4,4
"PA14_01320",3,6,11,10
"PA14_01330",0,1,0,0
"PA14_01340",4,3,2,7
"PA14_01350",3,4,2,8
"PA14_01360",0,3,3,4
"PA14_01380",15,26,37,38
"PA14_01390",58,50,87,78
"PA14_01400",15,22,21,18
"PA14_01410",58,32,92,101
"PA14_01430",6,5,32,23
"PA14_01440",14,10,31,12
"PA14_01460",44,31,306,312
"PA14_01470",30,11,27,48
"PA14_01480",6,2,16,37
"PA14_01490",563,320,231,227
"PA14_01500",25,12,11,22
"PA14_01510",1,2,4,7
"PA14_01520",0,0,12,10
"PA14_01540",0,0,9,3
"PA14_01550",5,2,11,12
"PA14_01560",86,61,569,603
"PA14_01580",29,17,285,299
"PA14_01600",99,93,690,620
"PA14_01610",0,0,53,55
"PA14_01620",4,3,101,79
"PA14_01640",18,7,51,49
"PA14_01660",2,4,37,37
"PA14_01670",7,5,8,18
"PA14_01680",4,1,1,2
"PA14_01690",0,0,4,5
"PA14_01710",1373,861,1523,1266
"PA14_01720",77,52,182,158
"PA14_01730",2,0,8,4
"PA14_01750",12,5,16,20
"PA14_01760",27,28,118,107
"PA14_01770",30,22,97,90
"PA14_01780",1,1,5,9
"PA14_01790",0,0,1,2
"PA14_01800",5,5,30,57
"PA14_01810",6,8,20,20
"PA14_01830",20,14,88,86
"PA14_01840",0,0,2,5
"PA14_01860",1,0,9,8
"PA14_01870",3,1,10,12
"PA14_01890",2,0,18,16
"PA14_01900",0,0,6,16
"PA14_01910",7,6,11,9
"PA14_01930",11,5,14,11
"PA14_01940",23,14,78,64
"PA14_01960",13,14,17,27
"PA14_01970",239,167,296,291
"PA14_01980",52,45,163,183
"PA14_01990",1,0,12,6
"PA14_02020",76,53,450,399
"PA14_02030",2,3,26,31
"PA14_02050",10,14,98,112
"PA14_02060",74,49,341,252
"PA14_02070",3,3,18,21
"PA14_02090",20,18,85,85
"PA14_02100",4,13,12,11
"PA14_02110",8,3,9,7
"PA14_02130",1,3,8,15
"PA14_02140",1,1,15,23
"PA14_02150",11,8,15,15
"PA14_02180",3,1,1,8
"PA14_02190",0,0,2,1
"PA14_02200",0,0,3,5
"PA14_02220",2,3,6,9
"PA14_02230",0,0,0,2
"PA14_02250",0,0,4,7
"PA14_02260",0,0,2,0
"PA14_02270",3,1,14,17
"PA14_02290",4,2,17,14
"PA14_02300",2,9,20,14
"PA14_02310",3,1,6,9
"PA14_02330",2,0,1,3
"PA14_02340",0,0,5,10
"PA14_02360",9,4,17,17
"PA14_02370",1,1,9,16
"PA14_02380",2,1,6,4
"PA14_02390",0,1,2,4
"PA14_02410",56,34,8,9
"PA14_02420",10,5,8,6
"PA14_02435",1,0,0,0
"PA14_02450",24,22,34,41
"PA14_02460",20,19,74,82
"PA14_02470",34,26,75,94
"PA14_02490",8,6,2,1
"PA14_02500",10,7,5,9
"PA14_02510",113,69,174,241
"PA14_02520",0,0,0,1
"PA14_02530",33,22,142,122
"PA14_02550",32,35,178,182
"PA14_02560",3,2,9,9
"PA14_02570",1,0,3,1
"PA14_02580",0,1,2,3
"PA14_02590",6,1,1,1
"PA14_02610",5,5,3,3
"PA14_02620",1,5,2,5
"PA14_02630",8,4,11,14
"PA14_02640",3,1,14,27
"PA14_02650",2,0,16,22
"PA14_02660",4,2,12,16
"PA14_02680",4,2,22,13
"PA14_02690",1,4,9,17
"PA14_02700",2,2,8,8
"PA14_02720",1,0,9,10
"PA14_02730",1,3,13,7
"PA14_02740",1,7,26,21
"PA14_02750",15,13,44,54
"PA14_02760",9,15,54,66
"PA14_02770",1,0,12,3
"PA14_02790",8,4,5,10
"PA14_02810",12,7,27,19
"PA14_02830",15,13,23,34
"PA14_02840",9,6,13,11
"PA14_02850",45,43,58,34
"PA14_02870",5,6,27,21
"PA14_02890",7,5,29,33
"PA14_02900",1,1,5,7
"PA14_02910",2,1,28,14
"PA14_02930",0,4,16,25
"PA14_02960",4,4,9,7
"PA14_02970",6,2,31,38
"PA14_02980",3,5,27,26
"PA14_02990",4,5,20,30
"PA14_03000",11,2,18,27
"PA14_03010",15,5,66,59
"PA14_03020",2,0,1,6
"PA14_03030",0,1,1,3
"PA14_03040",2,4,10,8
"PA14_03050",1,2,8,12
"PA14_03070",17,17,78,65
"PA14_03080",3,0,5,3
"PA14_03090",6,1,32,26
"PA14_03100",7,1,32,43
"PA14_03110",0,0,1,3
"PA14_03130",20,14,22,27
"PA14_03150",0,0,2,1
"PA14_03160",6,3,26,26
"PA14_03163",2254,1326,8080,8946
"PA14_03166",122,101,1084,1182
"PA14_03170",5,6,112,142
"PA14_03200",53,33,223,227
"PA14_03210",1,0,8,5
"PA14_03220",3,0,20,27
"PA14_03240",7,5,13,15
"PA14_03250",195,123,391,444
"PA14_03265",88,33,115,138
"PA14_03270",534,384,685,711
"PA14_03285",257,199,347,384
"PA14_03300",559,380,1246,1452
"PA14_03310",16,17,158,166
"PA14_03320",8,7,75,82
"PA14_03330",6,8,29,31
"PA14_03340",28,22,78,78
"PA14_03350",12,3,45,33
"PA14_03360",16,10,59,45
"PA14_03370",15,6,75,89
"PA14_03380",252,168,758,725
"PA14_03390",21,19,48,72
"PA14_03400",2,3,15,18
"PA14_03410",2,0,6,8
"PA14_03430",144,116,464,476
"PA14_03450",293,192,342,308
"PA14_03470",37,15,119,123
"PA14_03480",2,4,21,26
"PA14_03490",17,14,15,32
"PA14_03510",14,12,17,23
"PA14_03520",6,7,8,1
"PA14_03530",25,21,18,27
"PA14_03550",0,5,4,4
"PA14_03560",0,0,2,1
"PA14_03580",0,0,2,5
"PA14_03590",3,2,9,8
"PA14_03610",0,5,19,3
"PA14_03620",0,1,5,4
"PA14_03630",1,2,4,22
"PA14_03650",7,2,26,35
"PA14_03670",2,3,15,20
"PA14_03680",5,2,12,7
"PA14_03700",10,12,26,29
"PA14_03710",0,4,21,28
"PA14_03720",7,5,34,50
"PA14_03730",181,130,488,402
"PA14_03760",3,3,5,6
"PA14_03770",4,2,9,7
"PA14_03780",28,21,47,41
"PA14_03790",28,5,41,30
"PA14_03800",491,341,658,633
"PA14_03810",53,39,75,79
"PA14_03830",5,4,19,20
"PA14_03840",6,3,43,59
"PA14_03855",2,2,25,18
"PA14_03860",26,22,92,73
"PA14_03870",84,56,380,406
