Replicate,Genotype,Medium
1,WT,minimal
2,WT,minimal
1,ptsB,minimal
2,ptsB,minimal
1,phoB,minimal
2,phoB,minimal
1,WT,ethanol
2,WT,ethanol
1,ptsB,ethanol
2,ptsB,ethanol
1,phoB,ethanol
2,phoB,ethanol
1,WT,non-ethanol producing C. albicans
2,WT,non-ethanol producing C. albicans
1,ptsB,non-ethanol producing C. albicans
2,ptsB,non-ethanol producing C. albicans
1,phoB,non-ethanol producing C. albicans
2,phoB,non-ethanol producing C. albicans
1,WT,ethanol producing C. albicans
2,WT,ethanol producing C. albicans
1,ptsB,ethanol producing C. albicans
2,ptsB,ethanol producing C. albicans
1,phoB,ethanol producing C. albicans
2,phoB,ethanol producing C. albicans
