"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS00010",13058,13432,9758,8608,10743,11262
"gene-SAUSA300_RS00015",4644,5768,2500,2501,3837,4128
"gene-SAUSA300_RS00020",122,144,157,116,146,153
"gene-SAUSA300_RS00025",4217,4408,3058,2766,4547,4592
"gene-SAUSA300_RS00030",16502,15597,7708,6700,8380,8842
"gene-SAUSA300_RS00035",10081,10861,4674,4280,6117,6348
"gene-SAUSA300_RS00040",643,632,1479,1206,371,343
"gene-SAUSA300_RS00045",82,108,3268,2762,1675,1728
"gene-SAUSA300_RS00050",8744,9554,2793,2498,2613,2880
"gene-SAUSA300_RS00055",357,383,64,47,73,85
"gene-SAUSA300_RS00060",32,36,4,5,6,23
"gene-SAUSA300_RS00065",496,448,241,180,641,707
"gene-SAUSA300_RS00070",4465,4525,975,790,1158,1035
"gene-SAUSA300_RS00075",13959,14186,4258,3715,5354,5763
"gene-SAUSA300_RS00080",1006,1168,355,307,523,632
"gene-SAUSA300_RS00085",5140,5406,1175,976,1481,1624
"gene-SAUSA300_RS00090",973,1023,4388,3763,2359,2295
"gene-SAUSA300_RS00105",8664,8741,6201,4976,4880,4908
"gene-SAUSA300_RS00110",5891,6336,3813,3382,3059,3305
"gene-SAUSA300_RS00115",4445,4824,2613,2282,2584,2564
"gene-SAUSA300_RS00120",1748,1779,944,658,881,884
"gene-SAUSA300_RS00125",1473,1588,661,558,421,332
"gene-SAUSA300_RS00130",1893,1801,1902,1768,1833,2070
"gene-SAUSA300_RS00135",373,387,817,725,1613,1806
"gene-SAUSA300_RS00140",2211,2330,1964,1838,3388,3589
"gene-SAUSA300_RS00145",202,148,80,85,127,118
"gene-SAUSA300_RS00155",2721,2922,376,340,404,386
"gene-SAUSA300_RS00160",177,215,88,164,40,58
"gene-SAUSA300_RS00165",153724,175320,112684,105429,67219,68499
"gene-SAUSA300_RS00170",6445,8403,4513,4584,7463,8734
"gene-SAUSA300_RS00175",70,61,23,30,67,83
"gene-SAUSA300_RS00185",1,4,2,3,4,3
"gene-SAUSA300_RS00190",6,7,2,1,3,3
"gene-SAUSA300_RS00195",16,25,16,6,17,11
"gene-SAUSA300_RS00200",1574,1451,460,375,568,674
"gene-SAUSA300_RS00205",253,326,194,168,273,287
"gene-SAUSA300_RS00210",192,191,175,165,239,247
"gene-SAUSA300_RS00215",18,30,8,10,30,25
"gene-SAUSA300_RS00220",933,1269,346,368,642,728
"gene-SAUSA300_RS00225",3437,3813,1022,1020,1649,1878
"gene-SAUSA300_RS00240",1,0,0,0,0,0
"gene-SAUSA300_RS00245",3245,4042,2009,1753,1119,1152
"gene-SAUSA300_RS00250",442,584,222,241,358,373
"gene-SAUSA300_RS00255",14,27,11,8,10,16
"gene-SAUSA300_RS00260",20,43,15,19,16,16
"gene-SAUSA300_RS00265",125,155,68,64,58,69
"gene-SAUSA300_RS00270",53,43,46,26,32,45
"gene-SAUSA300_RS00275",1003,1680,248,282,273,369
"gene-SAUSA300_RS00280",481,426,335,188,554,552
"gene-SAUSA300_RS00285",2,0,0,0,1,0
"gene-SAUSA300_RS00290",2,6,0,0,0,0
"gene-SAUSA300_RS00295",6,9,0,0,0,0
"gene-SAUSA300_RS00300",10,9,0,2,7,8
"gene-SAUSA300_RS00310",653,553,323,265,409,413
"gene-SAUSA300_RS00315",372,350,141,145,212,233
"gene-SAUSA300_RS00320",44,67,14,29,34,46
"gene-SAUSA300_RS00325",270,298,238,248,264,334
"gene-SAUSA300_RS00330",1059,1415,882,872,856,988
"gene-SAUSA300_RS00335",150,208,37,22,48,75
"gene-SAUSA300_RS00340",5398,9110,5389,6829,8331,12412
"gene-SAUSA300_RS00355",1844,2074,1602,1510,1967,2262
"gene-SAUSA300_RS00360",2176,2380,1625,1681,2634,2970
"gene-SAUSA300_RS00365",305,317,121,115,245,255
"gene-SAUSA300_RS00370",707,770,250,219,556,529
"gene-SAUSA300_RS00375",161,173,64,88,178,202
"gene-SAUSA300_RS00380",136,159,67,53,153,163
"gene-SAUSA300_RS00385",153,160,83,46,180,159
"gene-SAUSA300_RS00390",153,163,46,71,103,105
"gene-SAUSA300_RS00395",2437,2707,5266,4821,8333,8687
"gene-SAUSA300_RS00400",445,496,898,947,1289,1427
"gene-SAUSA300_RS00405",6,1,3,0,7,7
"gene-SAUSA300_RS00410",10,4,3,6,7,10
"gene-SAUSA300_RS00415",2561,3551,1108,1415,1537,1832
"gene-SAUSA300_RS00420",132,186,99,85,175,217
"gene-SAUSA300_RS00425",0,0,0,0,0,0
"gene-SAUSA300_RS00430",122,135,90,62,105,157
"gene-SAUSA300_RS00435",6,2,0,3,2,2
"gene-SAUSA300_RS00440",135,131,54,28,51,58
"gene-SAUSA300_RS00445",120,146,38,36,56,73
"gene-SAUSA300_RS00455",19,15,7,6,1,10
"gene-SAUSA300_RS00460",2068,2193,1207,1097,1030,1036
"gene-SAUSA300_RS00465",27,43,8,3,21,19
"gene-SAUSA300_RS00470",24,30,23,14,8,12
"gene-SAUSA300_RS00475",207,227,184,206,297,287
"gene-SAUSA300_RS00480",35,31,37,47,23,28
"gene-SAUSA300_RS00485",960,1275,200,291,408,433
"gene-SAUSA300_RS00490",43,119,14,24,36,46
"gene-SAUSA300_RS00495",219,266,93,139,99,108
"gene-SAUSA300_RS00500",294,312,94,137,145,159
"gene-SAUSA300_RS00505",1790,1856,1142,1047,1874,2171
"gene-SAUSA300_RS00510",197,178,119,129,204,191
"gene-SAUSA300_RS00515",744,707,5974,4983,1167,1109
"gene-SAUSA300_RS00520",161,199,278,309,162,180
"gene-SAUSA300_RS00525",230,230,352,378,162,201
"gene-SAUSA300_RS00530",178,220,235,196,118,92
"gene-SAUSA300_RS00535",153,213,190,181,103,116
"gene-SAUSA300_RS00540",3663,3571,1622,1320,1709,1895
"gene-SAUSA300_RS00545",316,324,244,206,217,217
"gene-SAUSA300_RS00550",553,583,339,303,325,314
"gene-SAUSA300_RS00555",1499,1711,1139,846,3140,3350
"gene-SAUSA300_RS00560",705,746,475,456,243,266
"gene-SAUSA300_RS00565",26,29,15,18,33,38
"gene-SAUSA300_RS00570",115,144,34,34,84,101
"gene-SAUSA300_RS00575",447,438,310,275,645,720
"gene-SAUSA300_RS00580",2989,3313,1162,993,2548,2748
"gene-SAUSA300_RS00585",432559,415615,3109,2729,1557,1560
"gene-SAUSA300_RS00590",9223,13231,2785,3300,1735,2320
"gene-SAUSA300_RS00595",616,706,165,150,499,481
"gene-SAUSA300_RS00600",339,351,10,28,208,184
"gene-SAUSA300_RS00605",1454,1552,24,39,750,771
"gene-SAUSA300_RS00610",48,45,0,0,71,52
"gene-SAUSA300_RS00615",30,45,0,6,45,45
"gene-SAUSA300_RS00620",92,109,7,4,102,130
"gene-SAUSA300_RS00625",40,39,13,12,43,66
"gene-SAUSA300_RS00630",108,109,15,16,84,130
"gene-SAUSA300_RS00635",200,193,44,26,174,163
"gene-SAUSA300_RS00640",90,78,20,22,83,78
"gene-SAUSA300_RS00645",153,117,24,20,102,132
"gene-SAUSA300_RS00650",233,230,54,63,205,152
"gene-SAUSA300_RS00660",262,360,216,208,215,275
"gene-SAUSA300_RS00665",392,428,306,311,606,575
"gene-SAUSA300_RS00670",843,1029,3097,2645,2360,2718
"gene-SAUSA300_RS00675",0,0,0,0,0,0
"gene-SAUSA300_RS00680",125,126,141,100,41,76
"gene-SAUSA300_RS00685",14,12,15,13,32,38
"gene-SAUSA300_RS00690",58,58,41,32,49,45
"gene-SAUSA300_RS00695",119,151,57,48,98,99
"gene-SAUSA300_RS00700",657,658,307,277,457,426
"gene-SAUSA300_RS00705",4252,4057,1628,1279,1586,1579
"gene-SAUSA300_RS00710",5784,5474,8976,7335,3321,3507
"gene-SAUSA300_RS00715",880,866,947,808,1041,906
"gene-SAUSA300_RS00725",37,31,28,24,20,27
"gene-SAUSA300_RS00730",318,323,164,103,281,277
"gene-SAUSA300_RS00735",2008,1891,480,349,436,421
"gene-SAUSA300_RS00740",9367,8498,2725,2206,3297,3507
"gene-SAUSA300_RS00745",68,60,70,57,70,88
"gene-SAUSA300_RS00750",38,34,23,26,24,17
"gene-SAUSA300_RS00755",51,73,45,52,34,53
"gene-SAUSA300_RS00760",126,139,251,207,158,127
"gene-SAUSA300_RS00765",54,93,49,54,37,60
"gene-SAUSA300_RS00770",492,479,412,338,623,673
"gene-SAUSA300_RS00775",1,1,0,0,0,2
"gene-SAUSA300_RS00790",470,555,443,394,557,559
"gene-SAUSA300_RS00800",3755,3954,13996,11800,1259,1238
"gene-SAUSA300_RS00805",31,29,78,88,66,65
"gene-SAUSA300_RS00810",41,43,95,76,54,43
"gene-SAUSA300_RS00815",36,31,64,87,46,61
"gene-SAUSA300_RS00825",25,44,59,48,48,40
"gene-SAUSA300_RS00830",62,63,44,58,45,52
"gene-SAUSA300_RS00835",69,69,43,52,56,62
"gene-SAUSA300_RS00840",34,39,25,29,33,30
"gene-SAUSA300_RS00845",110,133,71,89,80,134
"gene-SAUSA300_RS00850",91,113,52,70,64,79
"gene-SAUSA300_RS00855",38,74,33,16,21,36
"gene-SAUSA300_RS00860",124,145,57,41,56,54
"gene-SAUSA300_RS00865",100,98,49,43,50,57
"gene-SAUSA300_RS00870",160,156,81,41,56,48
"gene-SAUSA300_RS00875",377,389,112,91,170,173
"gene-SAUSA300_RS00880",585,509,211,143,199,168
"gene-SAUSA300_RS00885",10,15,5,2,17,23
"gene-SAUSA300_RS00890",109,82,30,23,103,93
"gene-SAUSA300_RS00895",871,756,6970,5791,14164,14121
"gene-SAUSA300_RS00900",486,572,457,425,829,997
"gene-SAUSA300_RS00905",20,25,18,23,39,40
"gene-SAUSA300_RS00910",20859,23488,1596,1548,3594,3900
"gene-SAUSA300_RS00915",12536,13070,579,568,1524,1694
"gene-SAUSA300_RS00920",14337,13771,710,557,1710,1835
"gene-SAUSA300_RS00925",9511,9155,622,510,1305,1269
"gene-SAUSA300_RS00930",18896,20050,1423,1297,2456,2781
"gene-SAUSA300_RS00935",7089,7596,890,762,2125,2140
"gene-SAUSA300_RS00940",241,228,284,207,1290,1424
"gene-SAUSA300_RS00945",690,724,5176,4933,2527,2857
"gene-SAUSA300_RS00950",4147,4372,29730,26068,19590,20413
