"gene_id","camSd69_rep1","camSd69_rep2","camSd69_rep3","camSKI_rep1","camSKI_rep2","camSKI_rep3","LAC_wt_rep1","LAC_wt_rep2","LAC_wt_rep3","LAC_ΔcamS_rep1","LAC_ΔcamS_rep2","LAC_ΔcamS_rep3"
"dnaA",8849,10165,12182,8713,10389,8347,7193,11932,10377,7802,8692,12744
"dnaN",6085,5673,7844,5288,7244,5121,5309,7937,6414,5717,5100,8371
"yaaA",4566,5343,5501,6191,6948,5843,3896,7526,7764,3787,3773,4675
"recF",28075,30299,35303,36314,39415,31991,30303,41623,40418,23997,23646,32254
"gyrB",42152,48476,58899,48011,52047,44321,38681,54980,55192,36121,40447,55382
"gyrA",36016,37098,51370,36028,45692,35894,34120,49637,42387,32760,35206,50989
"SAUSA300_RS00040",411,405,473,337,398,279,325,396,381,405,396,485
"hutH",4987,4631,6411,4633,5555,4517,3653,5439,4922,4085,4503,5878
"serS",5885,6259,8701,7104,8448,5462,7144,11189,9518,5283,5778,7181
"SAUSA300_RS00055",455,454,522,381,537,432,411,603,375,440,411,541
"SAUSA300_RS00060",300,402,391,355,438,254,277,399,293,304,341,456
"SAUSA300_RS00065",2465,2643,2710,1816,2253,1479,1705,2541,2012,2333,2280,2812
"SAUSA300_RS00070",6827,6651,7160,6168,7830,5415,4948,8141,6036,6975,5617,7804
"gdpP",47554,48040,52146,46381,58563,40253,38675,60197,49177,50840,43564,58365
"rplI",13661,15515,15607,12478,15247,10856,11686,16577,14519,14001,12670,16486
"dnaB",17512,18179,19380,15143,18428,12226,13635,18862,14382,18503,16587,22680
"SAUSA300_RS00090",2970,3149,5385,3009,3690,3459,2329,4110,3912,2741,3920,5115
"yycF",8736,9998,9777,7861,9592,7076,6761,10653,8510,7519,9171,10133
"walK",29758,30003,33564,24874,29800,21291,23604,34265,26953,27828,28141,35959
"yycH",24759,23652,25309,19491,23320,15942,18972,27205,20447,22550,21962,28502
"yycI",10720,10448,10955,8050,9991,6516,7592,11216,8617,9935,9069,11653
"SAUSA300_RS00125",1614,1568,1581,1638,2226,1350,1622,2223,1751,1758,1674,1578
"adsA",2540,2951,2543,1887,2468,1863,1726,2642,2774,1970,2707,2686
"rlmH",1982,2407,2325,1564,1950,1480,1251,2132,2454,1454,1849,2168
"SAUSA300_RS00140",5137,5028,5847,3452,4670,3581,3105,5270,4074,4154,3986,5595
"SAUSA300_RS00145",385,455,417,290,405,292,338,416,366,341,446,429
"SAUSA300_RS14955",393,498,418,433,619,299,374,604,512,375,393,418
"SAUSA300_RS00155",1975,2068,2373,2443,3190,2125,1720,3174,3309,2153,1762,2083
"SAUSA300_RS00160",140,116,143,108,170,97,111,175,113,120,102,167
"mecA_1",92612,93988,85211,49021,63456,37175,51937,68873,43018,70654,103483,95614
"SAUSA300_RS00170",33891,25127,32151,16799,22560,15948,20601,27975,15327,23821,28152,33198
"SAUSA300_RS00175",6452,6670,6665,3527,4295,3426,3380,5418,3933,4661,7122,6950
"SAUSA300_RS00180",18,16,20,12,24,18,24,26,24,17,27,24
"SAUSA300_RS00185",2,2,1,4,3,0,3,3,4,6,4,6
"SAUSA300_RS00190",11,5,3,8,7,9,7,9,9,4,4,12
"SAUSA300_RS00195",11,11,8,5,6,4,10,7,8,4,13,17
"SAUSA300_RS00200",1009,907,1011,823,945,696,627,1021,829,801,829,1186
"SAUSA300_RS00205",383,376,393,358,321,268,229,351,333,303,327,482
"SAUSA300_RS00210",972,871,1237,852,1045,820,835,1112,989,920,798,1324
"SAUSA300_RS00215",43,42,51,24,26,38,16,35,27,28,20,31
"SAUSA300_RS00220",1054,851,1122,864,1352,845,940,1479,474,1044,733,1259
"SAUSA300_RS00225",5626,6051,5887,3798,5548,3346,3341,5873,4696,5075,5229,5908
"cstB_1",73,106,60,92,117,61,54,93,83,75,79,90
"SAUSA300_RS15865",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS00240",0,5,1,2,6,0,0,2,7,7,1,1
"SAUSA300_RS00245",3292,3633,3326,2541,3247,2178,2063,3515,2663,2873,3183,3028
"SAUSA300_RS14965",78,62,44,69,121,59,72,125,39,38,25,55
"SAUSA300_RS15870",10,17,13,19,25,11,5,21,6,15,4,22
"SAUSA300_RS00250",195,159,149,105,126,79,101,157,88,142,165,134
"SAUSA300_RS00255",9,2,10,2,6,3,10,9,10,7,12,15
"SAUSA300_RS00260",79,89,67,52,93,48,66,96,41,57,79,83
"SAUSA300_RS00265",257,252,390,427,751,341,368,742,315,397,229,343
